KickstaterTitle`AmazonTitle
Cards Against Humanity`Cards Against Humanity
Hub+ for USB-C: Get your MacBook ports back.`nonda USB-C to USB 3.0 Mini Adapter [World’s Smallest] Aluminum Body with Indicator LED for Macbook Pro 2016, MacBook 12-inch and other Type-C Devices (Space Gray)
Food Huggers`Food Huggers Reusable Silicone Food Savers, Assorted Color
Pebble Time - Awesome Smartwatch, No Compromises`Pebble Time Smartwatch - Black
Oculus Rift: Step Into the Game`Oculus Rift - Virtual Reality Headset
Soma: Beautifully innovative all-natural water filters`Soma Replacement Water Filters (2 Filters)
The First All-Natural Premium Chewing Gum`Simply Gum Mint Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
The First All-Natural Premium Chewing Gum`Simply Gum Cinnamon Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
The First All-Natural Premium Chewing Gum`Simply Gum Ginger Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
The First All-Natural Premium Chewing Gum`Simply Gum Maple Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
The First All-Natural Premium Chewing Gum`Simply Gum, Fennel Licorice Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
The First All-Natural Premium Chewing Gum`Simply Gum Coffee Natural Chewing Gum - Non GMO, Vegan, 6 Packs (90 Pieces)
Good and Cheap: Eat Well on $4/Day (the PDF is free!)`Auzoud Oil-Cured Black Olives, Pitted, Supports North African Women Farmers, 100% Natural, Hand-Picked, 230 g (3.1 oz)
Exploding Kittens`Exploding Kittens: A Card Game About Kittens and Explosions and Sometimes Goats
NanoHold - NanoSuction for Phones, Cases & Tablets`NanoHold Mobile Device Holder - Credit Card Sized Suction Phone Holder- Home or Car Ready
Get Perfect Posture Effortlessly + Back Pain Relief /2nd Gen`BetterBack - Correct Back Posture While Sitting, Featured on Shark Tank, Doctor Recommended (Back Support Belt)
Hello Ruby`Tangram Factory Soft Grip, Orange, 1 Pound
COLLAR PERFECT: Iron Out the Wrinkles In Your Life`Collar Perfect - Compact Multipurpose Touch-Up and Travel Iron with Deluxe Travel Bag
OmieBox: Hot & Cold Food in 1 Lunchbox`OmieBox Bento Lunch Box With Insulated Thermos For Kids, Blue Sky
Quad Lock - iPhone Case Mounting System`Quad Lock Bike Kit for iPhone 6/6S - Black
"The Wrecking Crew" The Untold Story of Rock & Roll Heroes`The Wrecking Crew
jamstik+ The SmartGuitar`Jamstik+ Black Portable App Enabled MIDI Electric Guitar, for Beginners and Music Creators, iOS, Android & Mac Compatible, with Bluetooth Connectivity, Powered by Zivix
go-comb: fit for your wallet`Go-Comb - Wallet Comb + Bottle Opener - Sleek, Durable Stainless Steel Hair and Beard Comb
The Smart Garden: A care-free solution for fresh food.`|Click & Grow Indoor Smart Fresh Herb Garden Kit With 3 Basil Cartridges & Orange Lid || Self Watering Planter & Patented Nano-Tech Medium For Plant Growth|
TipMeNot`TipMeNot Baby Bottle Learning Tool, Great Teether, No Spilled Milk, No Bottle Propping, No Pacifier, Newborn Infant to Toddler, Tip Me Not Shower Gift
Foodie Dice: Play with your food`|Foodie Dice® No. 1 Seasonal Dinners (pouch) || foodie gift || hostess gift || Mother's Day gift|
Mike Farris to Complete & Release New Album`Shine For All The People
Print on Fabric Using Sunlight: The Lumi Process`Lumi Sunfold Printing Kit
Anomalisa`Sauce Science Hot Sauce, 5 pack, 5 oz
Hub+ for USB-C: Get your MacBook ports back.`nonda USB-C to USB 3.0 Mini Adapter [World’s Smallest] Aluminum Body with Indicator LED for Macbook Pro 2016, MacBook 12-inch and other Type-C Devices (Silver)
Speakeasy Briefs: Underwear with a Secret Pocket`Speakeasy Briefs, Men's Stash Underwear with a Secret Front Pocket, Medium, Black
Grow Veggie-Go's!`Veggie-Go's The Original Fruit and Veggie Strip, Mountain Berry Spinach, 0.42 Ounce (Pack of 20)
Digitsole: The first interactive insole to heat your feet`Blood Rage
MaKey MaKey: An Invention Kit for Everyone`Makey Makey - An Invention Kit for Everyone
Quad Lock - iPhone Case Mounting System`Quad Lock Out Front Mount
Quantified Gaming - know more, game better`Mionix MNX-01-26003-G NAOS QG Optical Smart Gaming Mouse, Dark Gray
Nightmare Magazine`MudWatt STEM Kit: Clean Energy from Mud
ALL BLACK CATS Are Not Alike - The Illustrated Book`Dino Pet Gift Option
Sansaire Sous Vide Circulator`Sansaire Sous Vide Immersion Circulator 110v, Black
Water Garden: A Self-Cleaning Fish Tank That Grows Herbs!`Back to the Roots Water Garden
The BIG Turtle Shell®: Rugged, Wireless BoomBox & Power Bank`Outdoor Tech OT4200 Big Turtle Shell - Ultra Loud Rugged Bluetooth 4.0 Wireless Boombox & Powerbank (Black)
MYNT: Deft Remote For Smart Devices`MYNT Smart Tracker & Remote - Thinnest (2 Coin Thin)l: Key, Wallet, Pet Separation Alarm, Key & Phone Finder, Mac Presenter Clicker, Selfie Remote (Silver)
Roadie Tuner: The Ultimate Guitarist Tool`Roadie Tuner Automatic Guitar Tuner
Murder By Death's album "Big Dark Love" & Poster Art Book`Big Dark Love
reCAP® Mason Jars - Easiest Fermentation Kit on Earth`reCAP Mason Jars POUR, Regular Mouth, Canning Jar Lid, Red
3Doodler 2.0: The World’s First 3D Printing Pen, Reinvented`3Doodler Create 3D Pen With 50 Plastic Strands, No Mess, Non-Toxic, Smoky Blue
The Veronica Mars Movie Project`TULIPENOIRE A1 Domino Derval Limited Edition Mechanical Diamond Watch
Sammy Screamer - Motion Alarm`BleepBleeps Sammy Screamer Motion Alarm, Red
CLEVERFIT: "The Adjustable Collar Stay"`CLEVERFIT the Adjustable Collar Stay
Prime Climb: the beautiful, colorful, mathematical game`Math for Love Prime Climb
OMNIVORE SALT—A family recipe that makes food taste better`Omnivore Salt
Robin. The smarter smartphone.`Nextbit Robin Factory Unlocked GSM Smartphone - Mint (U.S. Warranty)
Julia Nunes + Feelings = New Album`Some Feelings
The LUCY Drawing Tool: Most Versatile Camera Lucida Ever`Lucid-art Camera Lucida Old Masters Drawing Painting Tool Improved Art Projector
emberlight: turn any bulb into a smart light.`emberlight Socket, Wi-Fi Smart Light Bulb Adapter, White, Works with Amazon Alexa
Anova Precision Cooker - Cook sous vide with your phone`Anova Precision Cooker - WIFI 1st Gen (800 Watts) [DISCONTINUED]
The Odin: A Puzzle Dog Toy with a Modern Modular Design`The Odin Dog Treat Puzzle Toy
Battle Worlds: Kronos - Turn-based strategy revisited`Battle Worlds: Kronos - PlayStation 4
Portal: Turbocharged WiFi`Portal wifi router - Keeps your wifi maxed out at the speed you pay for, Patented technology, Reliable and affordable coverage for homes up to 3,000 sq.ft., Gigabit speed, Easy setup and app. (AC2400)
Code & Quill Notebooks`code&quill Traveler Notebook Premium Softcover Notebook for Creatives
GUITAR TRILLER: Experience A World Of New Guitar Sounds`GUITAR TRILLER - A New Kind of Guitar Pick - Lifetime Guarantee - Create Natural Delay, Compressor & Tremolo Like Sounds - for Guitar, Bass, Ukulele & Other String Instruments
XY Find It- The stylish iOS/Android Bluetooth tracking tag`XY3 3rd Gen Item Finder  - Bluetooth Key Finder, Wallet Tracker, Phone Finder, and Lost Item Tracker for iOS and Android (Original 3-Pack)
De La Soul ...and the Anonymous Nobody - In Stores Now`and the Anonymous Nobody... [Explicit]
Grilling / BBQ made easy, safe, and quick with SkeweRack`KonExcel.com SkeweRack - Turns 6 Kabobs Simultaneously, Sturdy Stainless Steel Shish Kabob Skewer & Rack Set (1 Rack + 6 Skewers)
Structure Sensor: Capture the World in 3D`Occipital Structure Sensor with bracket for iPad Air 2
Blood Rage`Blood Rage
|The World's Best TRAVEL JACKET with 15 Features |||| BAUBAX|`Baubax Travel Jacket - Windbreaker - Female - Black - Small
THE GARBAGE CAN FLY TRAP`Garbage Can Fly Trap
jamstik+ The SmartGuitar`JamStik: The Guitar for your iPad
Dolfin Pack Xtreme Sports Hydration System`DolfinPack Lightweight, Form-fitting, Waterproof, Extreme Sports Hydration Pack, One Size, Navy/Lime Green
Zombicide`Zombicide Black Plague Board Game
Anamanaguchi - make ENDLESS FANTASY more than an album!`Endless Fantasy
Mighty Mug - The Mug That Won't Fall`Mighty Mug Ice Tumbler,The Travel Mug That WonÕt Fall, with Double Wall Insulation and Convenient Flex Straw, Lilac, 20 oz
Soul Insole / Shoe Bubble - Best Orthotic Shoe Insole Ever!`SOUL INSOLE micro-size MAXIMUM COMFORT Premium Orthotic Insole Size MEDIUM
Introducing Gluten Free Banana Flour to the United States`Banana Flour
Une Bobine - For People Who Love iPhone`Fuse Chicken BOBINE Charge Cable/Stand (MFi Certified Lightning)
Shades - CMYK Color Swatch Cards`Shades Color Swatches Coated & Uncoated CMYK Process System Guide
|The World's Best TRAVEL JACKET with 15 Features |||| BAUBAX|`Baubax Travel Jacket - Sweatshirt - Female - Black - XXL
Women In Tech: The Book!`Trivae in Royal Blue
My PickUp Artist- A Customizable Make-Up Carrying Case`My Pickup Artist Classic Case, Customizable Beauty & Make-Up Organizer for Use at Home or 'On the Go' Holds Up to 30 Pieces, Monaco Pink
Cloop XL - Magnetic Cable Keeper 2.0`Cloop Magnetic Cable Keeper, 3 Small
AI WEIWEI: NEVER SORRY`Urbanized
PEOPLE OF COLO(U)R DESTROY SCIENCE FICTION!`All American Boy [Explicit]
A Leash That Doesn't Feel Like a Leash`We For Dogs Leash
Nomad™: The Go Everywhere Espresso Machine™`UniTerra Nomad Espresso Machine - Luminescent Green
A wireless wind meter containing no electronics`Vaavud Wind Speed Meter with Smartphone App
Man-PACK "Classic 2.0"`Man-Pack Classic 2.0 Sling Pack Messenger Bag - As Seen on ABC Shark Tank
New Studio Album from Toad the Wet Sprocket!`New Constellation
TEEN Carolina EP`Carolina
The Electric Loog Guitar`Loog Electric Guitar 3-String Solid-Body Electric Guitar, Blue
Soma: Beautifully innovative all-natural water filters`Soma Sustainable Pitcher & Plant-Based Water Filter, Black
Soma: Beautifully innovative all-natural water filters`Soma Plant-Based Replacement Filters (Pack of 2)
