Id,IndieGoGoProjectName,AmazonTitle
1,TubShroom - World's Best Strainer Hair Catcher ,TubShroom The Revolutionary Tub Drain Protector Hair Catcher/Strainer/Snare, White
2,Rocketbook Wave: Cloud-Ready Microwavable Notebook ,Rocketbook Wave Smart Notebook
3,mifold - the Grab-and-Go Booster seat ,mifold Grab-and-Go Car Booster Seat, Slate Grey
4,Switchmate - smart lighting made simple ,Switchmate: One-Second Installation Smart Lighting, Toggle, White
5,GO CUBES: Chewable Coffee ,GO CUBES Chewable Coffee, Assorted Flavors, 4 count chews (20 Pack)
6,NanoHold NanoSuction for Phones  Cases & Tablets ,NanoHold Mobile Device Holder - Credit Card Sized Suction Phone Holder- Home or Car Ready
7,ZUS Kevlar Charging Cable - Lifetime Guarantee ,nonda ZUS [Apple MFi Certified] Super Duty Lightning Cable, [4ft/1.2m, 90-degree] Reinforced with Highly Durable Aramid Fiber, Charger and Data Sync for iPhone, iPad, iPod, Black
8,UpRight - Improve your posture ,|Upright || Smart Wearable Posture Trainer with Free IOS and Android App|
9,PetziTreatCam  enjoy your pet anywhere at anytime! ,Petzi Treat Cam: Wi-Fi Pet Camera & Treat Dispenser
10,Bluesmart: World's First Smart  Connected Carry-On ,Bluesmart One - Smart Luggage: GPS, Remote Locking, Battery Charger (International Carry-on Size, TSA-Approved)
11,Ultraloq Smart Lock: Simplify Your Safety ,Ultraloq UL3 BT Bluetooth Enabled Fingerprint and Touchscreen Keyless Smart Door Lock (Aged Bronze)
12,The Renegade Broom ,Renegade Broom, 18 inch
13,BeatBuddy:  The First Guitar Pedal Drum Machine ,Singular Sound BeatBuddy the First Guitar Pedal Drum Machine
14,AirVisual Node: The World's Smartest Air Monitor ,AirVisual Node Air Quality Monitor, High Accuracy Laser PM2.5 Particle Sensor, CO2, RH, Temp, Wi-Fi
15,A Game For Falling In Love ,The Love Game: 36 Questions for Falling in Love
16,Grush: The Gaming Toothbrush for Kids ,Grush Smart Electric Toothbrush Makes Brushing Fun for Kids with Interactive Brushing Games and Precise Tracking and Monitoring for Parents
17,Kinsa Smart Ear Thermometer ,Kinsa Digital Smart Ear Thermometer for Baby, Kid and Adult
18,BetterBack - Perfect Posture Effortlessly ,BetterBack - Correct Back Posture While Sitting, Featured on Shark Tank, Doctor Recommended (Back Support Belt)
19,Spuni: a revolutionary first spoon for infants ,Spuni, Baby Spoon, BPA Free, Yellow and Pink
20,BeanPlus - Coffee Brewed Right  One Drip At A Time ,BeanPlus Cold Drip Brewer Cold Brew Coffee Maker Basic Package (550ml) (Black)
21,CreoPop - Cool Ink. Infinite Creativity. ,CreoPop Inks, Glittering, Gold/Red/Silver
22,CreoPop - Cool Ink. Infinite Creativity. ,CreoPop Temperature Sensitive, Blue/Bright Greenish Yellow/Purple/Blue
23,MYNT: The Most Functional Smart Button & Tracker ,MYNT Smart Tracker & Remote - Thinnest (2 Coin Thin)l: Key, Wallet, Pet Separation Alarm, Key & Phone Finder, Mac Presenter Clicker, Selfie Remote (Silver)
24,Feed Your Pet from Your Phone with Pintofeed. ,Feed and Go Automatic Pet Feeder with Built In Webcam and Wi-Fi, 18 L x 16 W x 3 H-Inch, for Dogs and Cats
25,GAME GOLF - change the golf experience forever  for everyone ,Game Golf Digital Shot Tracking System, Red/Black
26,puc plus: Universal Bluetooth MIDI Interface ,puc+ The Universal Bluetooth MIDI interface for musicians who make music on an iPhone, an iPad, or a Mac
27,mifold - the Grab-and-Go Booster seat ,Mifold Designer Carry Bag, Slate Grey
28,PAVLOK BREAKS BAD HABITS ,Pavlok
29,Swoon Lip Gloss Applicator ,Swoon Universal Lip Gloss Scoop & Applicator
30,ZUS Kevlar Charging Cable - Lifetime Guarantee ,nonda ZUS Super Duty USB C to USB A Cable [4ft/1.2m, 90-degree], charger and Data Sync for MacBook 12-inch, Nexus 5X, LG 5G, OnePlus 2 and other USB C Devices, Black
31,GAME GOLF - change the golf experience forever  for everyone ,GAME GOLF Live Tracking System
32,FOBO TIRE: World's First All Bluetooth Smart TPMS ,Fobo Bike, Silver
33,Torch - The World's First Universal Coat Heater ,Torch Coat Heater Wearable Heating Technology
34,SMART STANDING DESK: World's Best Sit-Stand Desk ,SmartDesk Electric Adjustable Height Standing Desk DIY Frame with Automatic Sit-to-Stand Smart Memory Keypad, Black
35,ZUS Kevlar Charging Cable - Lifetime Guarantee ,nonda ZUS Super Duty USB A to Micro USB Cable, [4ft/1.2m, 90 degree], charger and Data Sync, Reinforced with Aramid Fiber, Android Smartphones, Samsung, Nexus, LG, Kindle, Black
36,Helmet: Your eye  your playmate  and your friend ,iFamCare Helmet 1080p Wi-Fi Remote Pet Cam Monitor with Pet Laser, Silver
37,Switchmate - smart lighting made simple ,Switchmate: One-Second Installation Smart Lighting, Rocker, White
38,PLUG - The World's Most Powerful Battery Pack ,ChargeTech - Portable AC Outlet Battery Pack 27000mAh up to 85W / 110V (TSA Approved for Airline Travel) - External Power Bank Charger for MacBooks, Laptops, Cameras, Camping, CPAP Machines [BLACK]
39,CreoPop - Cool Ink. Infinite Creativity. ,CreoPop SKU007 Printer Inks, Glow-in-the-Dark, Crystal/Glittering Green/Glittering Red
40,TrackR bravo ,TrackR bravo - Silver (Discontinued by Manufacturer)
41,The Core wireless speaker system ,Mass Fidelity Core 120W Portable Hi-Fi Wireless Speaker System in Black with Holographic Sound and iOS/Android Compatibility
42,Flic: The Wireless Smart Button ,Flic: The Wireless Smart Button, Green
43,iBaby Air Smart Air Quality Monitor & Ion Purifier ,iBaby Air Smart Air Quality Monitor and Ion Purifier with Baby Audio Monitor, Temp, Humidity, and VOC Detector, White, Small
44,Qliplet - The Everyday Adventure Super Clip ,Lulabop Qliplet Carabiner Hanger with Rotating Folding Hook - Strong Clip for Camping, Travel, Adventure Tool, Sports Accessory, Organizing Gadget, Baby Gear
45,The Matter and Form 3D Scanner ,Matter and Form MFS1V1 3D Scanner
46,FOBO TIRE: World's First All Bluetooth Smart TPMS ,FOBO Bike Black
47,Flicks: Mobile Party Boombox Projector for All ,Dashbon Flicks Mobile Cordless Boombox Projector
48,Jellyfish Aquarium ,Jellyfish Art Jelly Cylinder Nano
49,The Atlas Wristband ,Atlas Wristband 2: Digital Trainer + Heart Rate Band
50,Spot - The Coolest Smart Home Security Camera EVER ,iSmartAlarm Spot HD Video Camera, White
