MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,positivePercentage,negativePercentage,X.positive,New Backers,Returning Backers,Backers,rating
42792.0,40000.0,6.0,37.0,21.0,1.0,1624.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,329.0,86.0,11.0,592.0,12.29,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.2321428571,61.0,145.0,1132.0,1277.0,0.0
129164.0,42000.0,3.0,30.0,31.0,1.0,1079.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,56.0,17.0,759.0,10.9,3.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.020979021,83.0,1065.0,988.0,2053.0,1.0
41209.0,20000.0,1.0,17.0,9.0,1.0,567.0,4.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,20.0,6.0,209.0,8.75,2.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,24.657534246599997,18.0,347.0,319.0,666.0,1.0
313157.0,250000.0,0.0,28.0,25.0,2.0,2423.0,1.0,26.0,1.0,4.0,1.0,0.0,1.0,4977.0,6.0,128.0,9356.0,11.08,1.25,2600.0,1830.0,72.0,741.0,30.0,2600.0,29.501915708800002,77.0,2417.0,1828.0,4245.0,1.0
813803.0,50000.0,12.0,23.0,37.0,3.0,1474.0,2.0,33.0,2.0,4.0,3.0,1.0,0.0,0.0,128.0,17.0,579.0,10.66,16.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.072992700700002,206.0,751.0,2240.0,2991.0,0.0
20512.0,8000.0,3.0,16.0,7.0,1.0,782.0,7.0,5.0,1.0,3.0,1.0,1.0,1.0,835.0,26.0,9.0,320.0,11.24,2.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.5714285714,26.0,116.0,730.0,846.0,1.0
350749.0,78000.0,3.0,13.0,45.0,1.0,1626.0,368.0,3.0,2.0,1.0,10.0,1.0,1.0,589.0,57.0,9.0,406.0,9.28,4.5,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.7752808989,53.0,415.0,1730.0,2145.0,1.0
2236.0,500.0,0.0,0.0,0.0,1.0,541.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,827.0,2.0,4.0,102.0,8.76,4.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,16.6666666667,1.0,52.0,20.0,72.0,0.0
156027.0,7500.0,5.0,23.0,21.0,1.0,1464.0,13.0,26.0,3.0,3.0,10.0,1.0,1.0,243.0,75.0,21.0,577.0,8.23,20.8,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,26.006191950500003,84.0,571.0,3105.0,3676.0,1.0
27738.0,10000.0,0.0,20.0,0.0,1.0,707.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,17.0,813.0,10.32,2.77,2741.0,380.0,80.0,4818.0,3093.0,2741.0,28.5714285714,8.0,130.0,103.0,233.0,1.0
268437.0,50000.0,11.0,14.0,14.0,1.0,988.0,23.0,69.0,2.0,1.0,3.0,0.0,1.0,1587.0,75.0,9.0,392.0,12.06,5.37,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.9682539683,73.0,948.0,2577.0,3525.0,1.0
406237.0,200000.0,5.0,64.0,5.0,1.0,640.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,86.0,23.0,908.0,12.17,2.03,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.291390728499998,189.0,1270.0,4500.0,5770.0,1.0
883460.0,35000.0,18.0,23.0,31.0,1.0,592.0,9.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,202.0,7.0,331.0,8.09,25.24,1672.0,1641.0,53.0,3850.0,1041.0,1672.0,29.4368600683,345.0,124.0,7895.0,8019.0,1.0
32616.0,10000.0,4.0,11.0,5.0,1.0,519.0,10.0,17.0,1.0,1.0,10.0,0.0,1.0,999.0,30.0,7.0,225.0,10.07,3.26,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,26.4957264957,31.0,269.0,580.0,849.0,1.0
13065.0,10000.0,1.0,12.0,5.0,1.0,526.0,1.0,6.0,1.0,2.0,3.0,0.0,1.0,255.0,6.0,8.0,773.0,8.59,1.31,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,41.6666666667,10.0,125.0,293.0,418.0,1.0
90074.0,40000.0,25.0,29.0,17.0,1.0,1122.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,33.0,15.0,609.0,8.99,2.25,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.9358974359,109.0,139.0,467.0,606.0,1.0
568106.0,25000.0,10.0,16.0,15.0,1.0,1458.0,0.0,68.0,2.0,3.0,1.0,1.0,1.0,1263.0,66.0,12.0,241.0,11.93,22.72,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.520295203000003,160.0,5411.0,5713.0,11124.0,1.0
41209.0,20000.0,1.0,17.0,9.0,1.0,567.0,4.0,49.0,2.0,3.0,3.0,0.0,1.0,654.0,20.0,6.0,209.0,8.75,2.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,24.657534246599997,18.0,347.0,319.0,666.0,1.0
107125.0,100000.0,6.0,31.0,31.0,1.0,1324.0,0.0,9.0,1.0,1.0,3.0,1.0,1.0,708.0,44.0,10.0,479.0,7.46,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.2798833819,97.0,280.0,560.0,840.0,0.0
9740.0,7500.0,4.0,16.0,0.0,0.0,1328.0,1.0,11.0,2.0,3.0,0.0,0.0,1.0,833.0,3.0,9.0,322.0,12.93,1.3,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,23.0769230769,3.0,102.0,305.0,407.0,1.0
29812.0,28000.0,4.0,85.0,12.0,0.0,1120.0,2.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,13.0,772.0,9.05,1.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.5,11.0,92.0,204.0,296.0,1.0
823003.0,100000.0,8.0,16.0,9.0,1.0,1692.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,101.0,5.0,105.0,11.86,8.23,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.6708229426,254.0,1546.0,2538.0,4084.0,1.0
248873.0,100000.0,0.0,22.0,4.0,1.0,131.0,0.0,13.0,1.0,4.0,8.0,0.0,1.0,1847.0,120.0,9.0,447.0,12.65,2.49,247.0,1690.8857142857,8.0,16.0,1.0,247.0,30.4621848739,145.0,2118.0,1979.0,4097.0,0.0
315222.0,40000.0,11.0,15.0,35.0,1.0,1353.0,26.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,173.0,8.0,311.0,10.7,7.88,16488.0,208.0,180.0,7834.0,3867.0,16488.0,28.4776902887,217.0,614.0,1175.0,1789.0,0.0
19504.0,12000.0,9.0,17.0,16.0,1.0,1028.0,2.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,54.0,14.0,656.0,12.04,1.63,19773.0,1283.0,47.0,610.0,763.0,19773.0,31.818181818200003,49.0,28.0,217.0,245.0,0.0
178613.0,60000.0,5.0,22.0,20.0,1.0,1627.0,3.0,34.0,2.0,2.0,10.0,1.0,1.0,1961.0,83.0,7.0,312.0,11.19,2.98,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,31.759656652399997,74.0,505.0,1497.0,2002.0,0.0
278486.0,150000.0,8.0,14.0,12.0,2.0,2528.0,0.0,20.0,2.0,4.0,3.0,1.0,0.0,0.0,37.0,27.0,1817.0,8.04,1.86,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.0,87.0,1143.0,2162.0,3305.0,1.0
26364.0,1500.0,5.0,20.0,6.0,2.0,1139.0,19.0,40.0,5.0,5.0,3.0,1.0,1.0,487.0,15.0,7.0,287.0,12.82,17.58,1703.0,1471.0,76.0,5815.0,3205.0,1703.0,28.5714285714,14.0,59.0,567.0,626.0,1.0
1552256.0,30000.0,62.0,21.0,25.0,1.0,2009.0,108.0,7.0,2.0,1.0,8.0,1.0,0.0,0.0,264.0,16.0,672.0,6.95,51.74,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.4403669725,729.0,4043.0,6117.0,10160.0,1.0
5702153.0,2000000.0,30.0,102.0,7.0,1.0,2127.0,1.0,13.0,1.0,3.0,1.0,0.0,0.0,0.0,48.0,32.0,3120.0,10.62,2.85,68124.0,300.0,889.0,2219.0,918.0,68124.0,32.3341645885,6483.0,59219.0,32366.0,91585.0,1.0
90840.0,20000.0,8.0,38.0,26.0,4.0,1029.0,0.0,29.0,2.0,5.0,2.0,1.0,1.0,601.0,93.0,13.0,354.0,13.18,4.54,2141.0,459.0,122.0,3434.0,2603.0,2141.0,28.136882129299998,74.0,260.0,835.0,1095.0,0.0
65929.0,45000.0,4.0,14.0,26.0,1.0,1121.0,4.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,33.0,7.0,276.0,12.39,1.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.4262295082,42.0,146.0,1285.0,1431.0,1.0
79744.0,25000.0,7.0,39.0,7.0,1.0,2130.0,1.0,23.0,2.0,5.0,0.0,1.0,1.0,510.0,24.0,11.0,481.0,8.91,3.19,1715.0,464.0,52.0,2123.0,1959.0,1715.0,24.0,24.0,429.0,1215.0,1644.0,1.0
141467.0,30000.0,0.0,45.0,5.0,1.0,544.0,2.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,11.0,556.0,7.99,4.72,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,38.8888888889,35.0,276.0,2781.0,3057.0,1.0
