left_primary`left_secondary`right_text
Philadelphia`United States`26 backers
San Francisco`United States`17 backers
New York`United States`16 backers
Tokyo`Japan`13 backers
Toronto`Canada`12 backers
London`United Kingdom`12 backers
Melbourne`Australia`10 backers
Singapore`Singapore`9 backers
Brisbane`Australia`9 backers
Sydney`Australia`6 backers
United States``374 backers
Australia``30 backers
Canada``30 backers
United Kingdom``25 backers
Japan``24 backers
Netherlands``20 backers
Germany``12 backers
Singapore``9 backers
Brazil``8 backers
France``8 backers
