left_primary`left_secondary`right_text
Houston`United States`73 backers
Austin`United States`16 backers
Cedarville`United States`14 backers
Chicago`United States`9 backers
Atlanta`United States`8 backers
Dallas`United States`8 backers
League City`United States`8 backers
Toronto`Canada`6 backers
London`United Kingdom`6 backers
Los Angeles`United States`6 backers
United States``536 backers
Canada``14 backers
United Kingdom``12 backers
Australia``5 backers
Singapore``4 backers
Malaysia``3 backers
Spain``2 backers
Thailand``2 backers
United Arab Emirates``1 backer
Brazil``1 backer
