left_primary`left_secondary`right_text
Los Angeles`United States`404 backers
New York`United States`247 backers
San Francisco`United States`171 backers
Brooklyn`United States`164 backers
London`United Kingdom`131 backers
Chicago`United States`117 backers
Toronto`Canada`95 backers
Seattle`United States`94 backers
Melbourne`Australia`93 backers
Sydney`Australia`84 backers
United States``3,917 backers
Canada``361 backers
United Kingdom``353 backers
Australia``299 backers
Germany``105 backers
Sweden``58 backers
New Zealand``49 backers
Brazil``47 backers
France``38 backers
Denmark``35 backers
