left_primary`left_secondary`right_text
San Diego`United States`61 backers
Singapore`Singapore`19 backers
Los Angeles`United States`19 backers
New York`United States`10 backers
San Francisco`United States`10 backers
Hong Kong`Hong Kong`5 backers
Austin`United States`5 backers
Washington`United States`5 backers
Seattle`United States`4 backers
Montreal`Canada`3 backers
United States``294 backers
Canada``19 backers
Singapore``19 backers
Australia``8 backers
Hong Kong``6 backers
Sweden``4 backers
Malaysia``3 backers
Netherlands``3 backers
New Zealand``3 backers
France``2 backers
