left_primary`left_secondary`right_text
San Francisco`United States`199 backers
New York`United States`131 backers
Los Angeles`United States`125 backers
Seattle`United States`67 backers
Brooklyn`United States`62 backers
Chicago`United States`49 backers
Portland`United States`48 backers
San Jose`United States`35 backers
Washington`United States`35 backers
Oakland`United States`32 backers
United States``2,838 backers
Canada``49 backers
United Kingdom``31 backers
Australia``16 backers
Germany``15 backers
Switzerland``9 backers
France``7 backers
Italy``6 backers
Norway``6 backers
Brazil``5 backers
