left_primary`left_secondary`right_text
New York`United States`46 backers
Singapore`Singapore`41 backers
Los Angeles`United States`37 backers
San Francisco`United States`27 backers
Chicago`United States`18 backers
Houston`United States`15 backers
London`United Kingdom`13 backers
Boston`United States`13 backers
Sydney`Australia`12 backers
San Jose`United States`11 backers
United States``688 backers
Canada``50 backers
Singapore``41 backers
Australia``37 backers
United Kingdom``31 backers
Germany``13 backers
Hong Kong``13 backers
France``10 backers
Thailand``7 backers
Malaysia``6 backers
