left_primary`left_secondary`right_text
New Haven`United States`14 backers
Singapore`Singapore`12 backers
London`United Kingdom`7 backers
Tokyo`Japan`7 backers
Los Angeles`United States`7 backers
San Francisco`United States`7 backers
New York`United States`6 backers
Seoul`South Korea`4 backers
Hamden`United States`4 backers
Sydney`Australia`3 backers
United States``195 backers
United Kingdom``17 backers
Singapore``12 backers
Germany``11 backers
Australia``10 backers
Japan``10 backers
Canada``7 backers
France``6 backers
South Korea``4 backers
Hong Kong``4 backers
