left_primary`left_secondary`right_text
Milan`Italy`8 backers
London`United Kingdom`5 backers
Barcelona`Spain`2 backers
Liege`Belgium`2 backers
Cambridge`United States`2 backers
Phoenix`United States`2 backers
Montreal`Canada`1 backer
Vancouver`Canada`1 backer
Chelmsford`United Kingdom`1 backer
Swindon`United Kingdom`1 backer
United States``31 backers
Italy``15 backers
United Kingdom``8 backers
Belgium``6 backers
Spain``4 backers
Australia``2 backers
Canada``2 backers
Denmark``2 backers
Netherlands``2 backers
Switzerland``2 backers
