left_primary`left_secondary`right_text
New York`United States`108 backers
Brooklyn`United States`57 backers
Los Angeles`United States`31 backers
London`United Kingdom`26 backers
Queens`United States`21 backers
Bronx`United States`18 backers
Philadelphia`United States`12 backers
Washington`United States`9 backers
Toronto`Canada`8 backers
Melbourne`Australia`8 backers
United States``553 backers
United Kingdom``52 backers
Canada``19 backers
France``18 backers
Australia``16 backers
Germany``13 backers
Switzerland``9 backers
Japan``4 backers
Hong Kong``4 backers
Netherlands``3 backers
