left_primary`left_secondary`right_text
Dallas`United States`52 backers
Los Angeles`United States`52 backers
New York`United States`52 backers
London`United Kingdom`49 backers
San Francisco`United States`45 backers
Chicago`United States`40 backers
Houston`United States`30 backers
Sydney`Australia`28 backers
Austin`United States`27 backers
Toronto`Canada`26 backers
United States``1,914 backers
United Kingdom``128 backers
Canada``118 backers
Australia``84 backers
Netherlands``38 backers
Germany``35 backers
Sweden``30 backers
Singapore``25 backers
Brazil``22 backers
France``19 backers
