left_primary`left_secondary`right_text
Singapore`Singapore`117 backers
London`United Kingdom`57 backers
New York`United States`41 backers
Toronto`Canada`34 backers
Los Angeles`United States`27 backers
Tallinn`Estonia`24 backers
San Francisco`United States`22 backers
Berlin`Germany`21 backers
Chicago`United States`21 backers
Zurich`Switzerland`19 backers
United States``875 backers
Canada``193 backers
Germany``120 backers
Singapore``117 backers
United Kingdom``112 backers
Switzerland``68 backers
France``47 backers
Sweden``40 backers
Italy``39 backers
Netherlands``35 backers
