left_primary`left_secondary`right_text
Denver`United States`36 backers
San Diego`United States`13 backers
Los Angeles`United States`12 backers
Englewood`United States`9 backers
Chicago`United States`8 backers
Littleton`United States`8 backers
Aurora`United States`6 backers
New York`United States`5 backers
Austin`United States`4 backers
Phoenix`United States`4 backers
United States``405 backers
Japan``2 backers
United Kingdom``2 backers
Belgium``1 backer
Germany``1 backer
Mexico``1 backer
Netherlands``1 backer
Norway``1 backer
Singapore``1 backer
Thailand``1 backer
