left_primary`left_secondary`right_text
New York`United States`531 backers
London`United Kingdom`478 backers
Los Angeles`United States`411 backers
Brooklyn`United States`331 backers
San Francisco`United States`257 backers
Chicago`United States`201 backers
Seattle`United States`185 backers
Washington`United States`166 backers
Toronto`Canada`135 backers
Portland`United States`132 backers
United States``7,665 backers
United Kingdom``1,213 backers
Canada``435 backers
Australia``318 backers
Germany``267 backers
Netherlands``146 backers
France``126 backers
Japan``75 backers
New Zealand``73 backers
Switzerland``72 backers
