left_primary`left_secondary`right_text
San Francisco`United States`43 backers
Seattle`United States`31 backers
Austin`United States`13 backers
Los Angeles`United States`12 backers
London`United Kingdom`7 backers
Toronto`Canada`6 backers
Vancouver`Canada`4 backers
Melbourne`Australia`4 backers
Atlanta`United States`4 backers
Dallas`United States`4 backers
United States``381 backers
Canada``28 backers
United Kingdom``27 backers
Australia``16 backers
Netherlands``3 backers
Brazil``2 backers
Denmark``2 backers
Finland``2 backers
Germany``2 backers
Japan``2 backers
