left_primary`left_secondary`right_text
Seattle`United States`13 backers
Fort Lauderdale`United States`11 backers
Melbourne`Australia`8 backers
Austin`United States`8 backers
Los Angeles`United States`8 backers
New York`United States`6 backers
San Antonio`United States`6 backers
London`United Kingdom`5 backers
San Diego`United States`5 backers
Perth`Australia`4 backers
United States``520 backers
Canada``23 backers
Australia``17 backers
United Kingdom``17 backers
Germany``9 backers
Norway``7 backers
Hong Kong``5 backers
Japan``3 backers
Netherlands``3 backers
New Zealand``3 backers
