left_primary`left_secondary`right_text
New York`United States`142 backers
Brooklyn`United States`66 backers
San Francisco`United States`39 backers
Washington`United States`33 backers
Los Angeles`United States`32 backers
Chicago`United States`24 backers
Oakland`United States`21 backers
London`United Kingdom`17 backers
Boston`United States`12 backers
Seattle`United States`12 backers
United States``860 backers
United Kingdom``28 backers
Canada``18 backers
Australia``5 backers
Spain``4 backers
Germany``3 backers
Belgium``2 backers
Ireland``2 backers
Netherlands``2 backers
United Arab Emirates``1 backer
