left_primary`left_secondary`right_text
New York`United States`44 backers
San Francisco`United States`29 backers
Los Angeles`United States`25 backers
Singapore`Singapore`24 backers
London`United Kingdom`23 backers
Chicago`United States`17 backers
Seattle`United States`17 backers
San Jose`United States`14 backers
Washington`United States`14 backers
Charlotte`United States`12 backers
United States``898 backers
Canada``61 backers
United Kingdom``53 backers
Australia``35 backers
Singapore``24 backers
Germany``18 backers
Hong Kong``18 backers
Brazil``13 backers
Israel``10 backers
Japan``10 backers
