left_primary`left_secondary`right_text
Tucson`United States`18 backers
Seattle`United States`16 backers
Phoenix`United States`15 backers
London`United Kingdom`11 backers
Los Angeles`United States`10 backers
Austin`United States`9 backers
Chicago`United States`8 backers
Fort Worth`United States`8 backers
Ottawa`Canada`7 backers
Toronto`Canada`7 backers
United States``690 backers
United Kingdom``52 backers
Canada``50 backers
Australia``27 backers
Germany``18 backers
France``13 backers
Netherlands``9 backers
Brazil``8 backers
Sweden``8 backers
Belgium``7 backers
