left_primary`left_secondary`right_text
London`United Kingdom`99 backers
San Diego`United States`87 backers
Tokyo`Japan`83 backers
New York`United States`62 backers
Singapore`Singapore`60 backers
Los Angeles`United States`54 backers
San Francisco`United States`51 backers
Melbourne`Australia`46 backers
Sydney`Australia`45 backers
Toronto`Canada`35 backers
United States``2,025 backers
United Kingdom``285 backers
Canada``218 backers
Japan``163 backers
Australia``153 backers
Germany``122 backers
Norway``96 backers
Brazil``88 backers
Netherlands``80 backers
Singapore``60 backers
