left_primary`left_secondary`right_text
Los Angeles`United States`102 backers
London`United Kingdom`96 backers
New York`United States`90 backers
San Francisco`United States`82 backers
Sydney`Australia`64 backers
Singapore`Singapore`54 backers
Chicago`United States`52 backers
Toronto`Canada`48 backers
Melbourne`Australia`42 backers
Seattle`United States`39 backers
United States``2,431 backers
United Kingdom``261 backers
Canada``239 backers
France``179 backers
Australia``173 backers
Germany``140 backers
Japan``103 backers
Netherlands``79 backers
Brazil``62 backers
Russia``57 backers
