left_primary`left_secondary`right_text
Chicago`United States`20 backers
Seattle`United States`13 backers
Los Angeles`United States`8 backers
San Francisco`United States`7 backers
Atlanta`United States`6 backers
Austin`United States`6 backers
Portland`United States`6 backers
Washington`United States`6 backers
Toronto`Canada`5 backers
Kalamazoo`United States`5 backers
United States``597 backers
Canada``22 backers
United Kingdom``14 backers
Australia``11 backers
Denmark``5 backers
Brazil``4 backers
Germany``4 backers
Norway``3 backers
Belgium``2 backers
Israel``2 backers
