left_primary`left_secondary`right_text
Singapore`Singapore`565 backers
London`United Kingdom`247 backers
Sydney`Australia`243 backers
Toronto`Canada`209 backers
Melbourne`Australia`192 backers
New York`United States`178 backers
San Francisco`United States`171 backers
Los Angeles`United States`169 backers
Bangkok`Thailand`134 backers
Seattle`United States`111 backers
United States``4,259 backers
Canada``947 backers
Australia``723 backers
United Kingdom``572 backers
Singapore``565 backers
Germany``387 backers
France``208 backers
Hong Kong``183 backers
Thailand``166 backers
Japan``151 backers
