left_primary`left_secondary`right_text
Fairfax`United States`11 backers
Washington`United States`11 backers
New York`United States`10 backers
San Diego`United States`10 backers
Arlington`United States`7 backers
Falls Church`United States`7 backers
Vienna`United States`7 backers
South River`United States`6 backers
Alexandria`United States`4 backers
Boston`United States`4 backers
United States``224 backers
Canada``7 backers
Germany``3 backers
Singapore``3 backers
Australia``2 backers
Austria``2 backers
China``2 backers
Czech Republic``2 backers
Japan``2 backers
Netherlands``2 backers
