left_primary`left_secondary`right_text
Chicago`United States`28 backers
New York`United States`15 backers
Los Angeles`United States`14 backers
Portland`United States`11 backers
Toronto`Canada`8 backers
Brooklyn`United States`8 backers
Houston`United States`7 backers
Washington`United States`7 backers
London`United Kingdom`6 backers
Boston`United States`6 backers
United States``392 backers
Canada``20 backers
United Kingdom``17 backers
Australia``7 backers
Japan``6 backers
France``4 backers
Germany``4 backers
Brazil``3 backers
Mexico``3 backers
Singapore``3 backers
