left_primary`left_secondary`right_text
Minneapolis`United States`44 backers
San Francisco`United States`5 backers
Los Angeles`United States`3 backers
New York`United States`3 backers
Plymouth`United States`3 backers
St. Paul`United States`3 backers
Vancouver`Canada`2 backers
Boulder`United States`2 backers
Denver`United States`2 backers
Houston`United States`2 backers
United States``136 backers
Canada``5 backers
Japan``2 backers
Switzerland``2 backers
France``1 backer
Israel``1 backer
Singapore``1 backer
United Kingdom``1 backer
