left_primary`left_secondary`right_text
Los Angeles`United States`11 backers
New York`United States`11 backers
London`United Kingdom`10 backers
Sydney`Australia`8 backers
Chicago`United States`8 backers
Austin`United States`6 backers
Houston`United States`6 backers
San Jose`United States`6 backers
Seattle`United States`6 backers
Melbourne`Australia`5 backers
United States``386 backers
United Kingdom``28 backers
Australia``21 backers
Canada``19 backers
Germany``8 backers
Switzerland``5 backers
South Korea``4 backers
Singapore``4 backers
United Arab Emirates``3 backers
France``3 backers
