left_primary`left_secondary`right_text
Portland`United States`41 backers
Seattle`United States`41 backers
Chicago`United States`31 backers
Los Angeles`United States`30 backers
Austin`United States`27 backers
Toronto`Canada`24 backers
San Francisco`United States`24 backers
London`United Kingdom`21 backers
New York`United States`20 backers
Minneapolis`United States`17 backers
United States``1,193 backers
Canada``108 backers
United Kingdom``73 backers
Australia``49 backers
Germany``11 backers
France``8 backers
New Zealand``8 backers
South Korea``7 backers
Singapore``7 backers
Sweden``7 backers
