left_primary`left_secondary`right_text
Brooklyn`United States`19 backers
New York`United States`14 backers
San Francisco`United States`7 backers
Los Angeles`United States`6 backers
Austin`United States`3 backers
Rye`United States`3 backers
Montreal`Canada`2 backers
Toronto`Canada`2 backers
Vancouver`Canada`2 backers
Bangkok`Thailand`2 backers
United States``109 backers
Canada``10 backers
United Kingdom``3 backers
Austria``2 backers
Thailand``2 backers
Brazil``1 backer
Finland``1 backer
France``1 backer
Israel``1 backer
Mexico``1 backer
