left_primary`left_secondary`right_text
New York`United States`44 backers
Brooklyn`United States`28 backers
Chicago`United States`14 backers
Los Angeles`United States`14 backers
San Francisco`United States`9 backers
Washington`United States`7 backers
Portland`United States`5 backers
London`United Kingdom`4 backers
Indianapolis`United States`3 backers
Seattle`United States`3 backers
United States``266 backers
Canada``6 backers
United Kingdom``6 backers
Switzerland``2 backers
Australia``1 backer
France``1 backer
Germany``1 backer
Japan``1 backer
Netherlands``1 backer
Singapore``1 backer
