left_primary`left_secondary`right_text
Los Angeles`United States`14 backers
Seattle`United States`11 backers
New York`United States`9 backers
San Francisco`United States`8 backers
Philadelphia`United States`5 backers
London`United Kingdom`4 backers
Austin`United States`4 backers
Singapore`Singapore`3 backers
Sydney`Australia`3 backers
Baltimore`United States`3 backers
United States``222 backers
United Kingdom``19 backers
Canada``15 backers
Australia``8 backers
Germany``4 backers
Netherlands``4 backers
New Zealand``4 backers
Switzerland``4 backers
Belgium``3 backers
Singapore``3 backers
