left_primary`left_secondary`right_text
Seattle`United States`100 backers
Portland`United States`88 backers
Toronto`Canada`68 backers
Minneapolis`United States`65 backers
Los Angeles`United States`64 backers
New York`United States`55 backers
Denver`United States`52 backers
San Francisco`United States`48 backers
Brooklyn`United States`42 backers
Chicago`United States`36 backers
United States``3,717 backers
Canada``379 backers
Australia``99 backers
United Kingdom``45 backers
Germany``27 backers
New Zealand``18 backers
Singapore``18 backers
Netherlands``16 backers
Norway``11 backers
Sweden``11 backers
