left_primary`left_secondary`right_text
Portland`United States`20 backers
Chicago`United States`19 backers
San Francisco`United States`15 backers
Seattle`United States`14 backers
Brooklyn`United States`13 backers
Los Angeles`United States`11 backers
New York`United States`10 backers
Minneapolis`United States`8 backers
Oakland`United States`7 backers
White River Junction`United States`7 backers
United States``425 backers
United Kingdom``17 backers
Australia``16 backers
Canada``14 backers
Ireland``3 backers
France``3 backers
Germany``3 backers
Mexico``3 backers
Norway``3 backers
Brazil``2 backers
