left_primary`left_secondary`right_text
London`United Kingdom`83 backers
New York`United States`56 backers
Los Angeles`United States`46 backers
Amsterdam`Netherlands`36 backers
San Francisco`United States`36 backers
Sydney`Australia`28 backers
Singapore`Singapore`27 backers
Toronto`Canada`25 backers
Melbourne`Australia`25 backers
Seattle`United States`21 backers
United States``829 backers
Netherlands``217 backers
United Kingdom``148 backers
Australia``96 backers
Canada``86 backers
Germany``69 backers
Switzerland``58 backers
Japan``35 backers
France``28 backers
Singapore``27 backers
