left_primary`left_secondary`right_text
San Francisco`United States`4 backers
Chicago`United States`3 backers
Portland`United States`3 backers
Denver`United States`2 backers
New York`United States`2 backers
San Diego`United States`2 backers
Seattle`United States`2 backers
Edmonton`Canada`1 backer
Mexico City`Mexico`1 backer
Augsburg`Germany`1 backer
United States``76 backers
Australia``1 backer
Canada``1 backer
Germany``1 backer
Mexico``1 backer
