left_primary`left_secondary`right_text
London`United Kingdom`63 backers
Zurich`Switzerland`34 backers
New York`United States`29 backers
Singapore`Singapore`20 backers
Vienna`Austria`14 backers
Madrid`Spain`10 backers
Sydney`Australia`10 backers
Berlin`Germany`8 backers
Paris`France`7 backers
Amsterdam`Netherlands`7 backers
United States``273 backers
United Kingdom``149 backers
Switzerland``74 backers
Germany``48 backers
Australia``30 backers
Canada``30 backers
Netherlands``28 backers
Spain``24 backers
Italy``23 backers
Singapore``20 backers
