left_primary`left_secondary`right_text
Appleton`United States`25 backers
Portland`United States`15 backers
Los Angeles`United States`14 backers
Minneapolis`United States`14 backers
Toronto`Canada`13 backers
London`United Kingdom`12 backers
Melbourne`Australia`11 backers
Denver`United States`10 backers
Madison`United States`10 backers
New York`United States`10 backers
United States``802 backers
United Kingdom``71 backers
Canada``55 backers
Australia``34 backers
Germany``23 backers
France``13 backers
Norway``10 backers
Sweden``9 backers
Hong Kong``9 backers
Austria``8 backers
