left_primary`left_secondary`right_text
Nashville`United States`19 backers
Austin`United States`10 backers
Franklin`United States`7 backers
Charlotte`United States`4 backers
Los Angeles`United States`4 backers
Cornelius`United States`3 backers
Lexington`United States`3 backers
New York`United States`3 backers
Chicago`United States`2 backers
Columbia`United States`2 backers
United States``215 backers
Canada``3 backers
Spain``3 backers
United Kingdom``2 backers
Australia``1 backer
Italy``1 backer
Japan``1 backer
Netherlands``1 backer
Norway``1 backer
