left_primary`left_secondary`right_text
London`United Kingdom`280 backers
New York`United States`183 backers
Singapore`Singapore`156 backers
Los Angeles`United States`153 backers
Melbourne`Australia`137 backers
Sydney`Australia`128 backers
Toronto`Canada`119 backers
San Francisco`United States`99 backers
Tokyo`Japan`77 backers
Chicago`United States`76 backers
United States``5,103 backers
United Kingdom``792 backers
Canada``603 backers
Australia``500 backers
Germany``250 backers
Netherlands``231 backers
Japan``174 backers
France``169 backers
Singapore``156 backers
Switzerland``143 backers
