left_primary`left_secondary`right_text
Seattle`United States`16 backers
Port Townsend`United States`5 backers
New York`United States`4 backers
Redmond`United States`4 backers
Chicago`United States`3 backers
Kalamazoo`United States`3 backers
Los Angeles`United States`3 backers
Portland`United States`3 backers
Raleigh`United States`3 backers
Toronto`Canada`2 backers
United States``188 backers
Canada``8 backers
China``2 backers
United Arab Emirates``1 backer
Italy``1 backer
Spain``1 backer
United Kingdom``1 backer
