left_primary`left_secondary`right_text
New York`United States`56 backers
Brooklyn`United States`20 backers
Boston`United States`10 backers
Cambridge`United States`8 backers
Los Angeles`United States`8 backers
San Francisco`United States`8 backers
New Orleans`United States`7 backers
Chicago`United States`6 backers
Seattle`United States`6 backers
Washington`United States`6 backers
United States``248 backers
United Kingdom``6 backers
Australia``2 backers
Canada``2 backers
Italy``2 backers
Belgium``1 backer
Germany``1 backer
Luxembourg``1 backer
Netherlands``1 backer
Switzerland``1 backer
