left_primary`left_secondary`right_text
London`United Kingdom`140 backers
San Francisco`United States`139 backers
Seattle`United States`128 backers
New York`United States`117 backers
Melbourne`Australia`104 backers
Los Angeles`United States`104 backers
Chicago`United States`95 backers
Sydney`Australia`86 backers
Portland`United States`80 backers
Toronto`Canada`79 backers
United States``5,076 backers
United Kingdom``571 backers
Canada``545 backers
Australia``372 backers
Germany``217 backers
France``148 backers
Sweden``104 backers
Brazil``74 backers
Finland``67 backers
Spain``66 backers
