left_primary`left_secondary`right_text
Vancouver`Canada`20 backers
Toronto`Canada`14 backers
Calgary`Canada`11 backers
Singapore`Singapore`11 backers
Burnaby`Canada`9 backers
Montreal`Canada`8 backers
San Francisco`United States`8 backers
London`United Kingdom`7 backers
New York`United States`7 backers
Winnipeg`Canada`6 backers
United States``294 backers
Canada``127 backers
United Kingdom``22 backers
Australia``18 backers
Singapore``11 backers
Japan``7 backers
Germany``6 backers
Netherlands``6 backers
Sweden``5 backers
Hong Kong``5 backers
