left_primary`left_secondary`right_text
Los Angeles`United States`106 backers
New York`United States`70 backers
Seattle`United States`67 backers
Chicago`United States`66 backers
San Francisco`United States`61 backers
San Diego`United States`53 backers
Austin`United States`45 backers
Washington`United States`39 backers
Houston`United States`38 backers
Portland`United States`31 backers
United States``2,947 backers
Canada``73 backers
United Kingdom``52 backers
Australia``33 backers
Germany``15 backers
Japan``10 backers
France``9 backers
Singapore``9 backers
Italy``6 backers
Netherlands``6 backers
