left_primary`left_secondary`right_text
Chattanooga`United States`13 backers
Los Angeles`United States`13 backers
Castaic`United States`9 backers
Thousand Oaks`United States`5 backers
London`United Kingdom`3 backers
Brussels`Belgium`3 backers
Buffalo`United States`3 backers
Irvine`United States`3 backers
Pittsburgh`United States`3 backers
Toronto`Canada`2 backers
United States``174 backers
United Kingdom``15 backers
Canada``9 backers
Germany``6 backers
Australia``5 backers
Belgium``5 backers
Austria``2 backers
Brazil``2 backers
France``2 backers
Netherlands``2 backers
