left_primary`left_secondary`right_text
Seattle`United States`94 backers
New York`United States`60 backers
Portland`United States`35 backers
Brooklyn`United States`35 backers
London`United Kingdom`33 backers
Los Angeles`United States`32 backers
San Francisco`United States`27 backers
Singapore`Singapore`21 backers
Toronto`Canada`18 backers
Chicago`United States`18 backers
United States``1,097 backers
United Kingdom``69 backers
Canada``63 backers
Australia``43 backers
Singapore``21 backers
Germany``11 backers
Ireland``8 backers
Netherlands``7 backers
Switzerland``7 backers
France``6 backers
