left_primary`left_secondary`right_text
New York`United States`109 backers
Brooklyn`United States`45 backers
Los Angeles`United States`36 backers
San Francisco`United States`28 backers
Chicago`United States`21 backers
Seattle`United States`15 backers
Portland`United States`12 backers
London`United Kingdom`11 backers
Austin`United States`9 backers
Philadelphia`United States`8 backers
United States``745 backers
Canada``25 backers
United Kingdom``22 backers
Germany``13 backers
Australia``10 backers
Netherlands``9 backers
France``6 backers
Argentina``3 backers
Denmark``3 backers
Italy``3 backers
