left_primary`left_secondary`right_text
Stockholm`Sweden`43 backers
Malmö`Sweden`31 backers
Singapore`Singapore`20 backers
London`United Kingdom`12 backers
Toronto`Canada`11 backers
Sydney`Australia`10 backers
Montreal`Canada`8 backers
Melbourne`Australia`8 backers
Copenhagen`Denmark`7 backers
Adelaide`Australia`7 backers
United States``197 backers
Sweden``155 backers
Canada``63 backers
United Kingdom``59 backers
Germany``50 backers
Australia``48 backers
Denmark``25 backers
Singapore``21 backers
Norway``16 backers
Finland``14 backers
