left_primary`left_secondary`right_text
New York`United States`70 backers
San Francisco`United States`52 backers
Seattle`United States`38 backers
Los Angeles`United States`32 backers
Austin`United States`30 backers
Boston`United States`26 backers
Chicago`United States`25 backers
Melbourne`Australia`23 backers
San Diego`United States`22 backers
Sydney`Australia`20 backers
United States``1,410 backers
Canada``123 backers
Australia``69 backers
United Kingdom``33 backers
Germany``21 backers
Netherlands``21 backers
Norway``19 backers
Singapore``19 backers
Sweden``16 backers
Spain``13 backers
