left_primary`left_secondary`right_text
London`United Kingdom`11 backers
Minneapolis`United States`11 backers
San Diego`United States`9 backers
Austin`United States`8 backers
Perth`Australia`7 backers
Los Angeles`United States`7 backers
Chicago`United States`6 backers
Toronto`Canada`5 backers
Montreal`Canada`4 backers
Calgary`Canada`4 backers
United States``473 backers
United Kingdom``38 backers
Canada``35 backers
Australia``31 backers
Germany``23 backers
France``9 backers
Netherlands``9 backers
Denmark``7 backers
Sweden``7 backers
Austria``5 backers
