left_primary`left_secondary`right_text
Riga`Latvia`67 backers
London`United Kingdom`46 backers
San Francisco`United States`23 backers
Sydney`Australia`22 backers
Singapore`Singapore`21 backers
New York`United States`20 backers
Brisbane`Australia`16 backers
Moscow`Russia`16 backers
Los Angeles`United States`14 backers
Toronto`Canada`11 backers
United States``475 backers
United Kingdom``110 backers
Latvia``74 backers
Australia``63 backers
Canada``52 backers
Germany``46 backers
Switzerland``40 backers
France``27 backers
Russia``24 backers
Brazil``23 backers
