left_primary`left_secondary`right_text
London`United Kingdom`47 backers
New York`United States`38 backers
San Francisco`United States`35 backers
Los Angeles`United States`21 backers
Philadelphia`United States`19 backers
Washington`United States`16 backers
Melbourne`Australia`15 backers
Chicago`United States`14 backers
Portland`United States`14 backers
Brooklyn`United States`14 backers
United States``894 backers
United Kingdom``88 backers
Canada``54 backers
Australia``47 backers
Japan``24 backers
France``20 backers
Germany``17 backers
Singapore``14 backers
Thailand``13 backers
Sweden``9 backers
