left_primary`left_secondary`right_text
Berlin`Germany`79 backers
London`United Kingdom`70 backers
Munich`Germany`50 backers
New York`United States`23 backers
Hamburg`Germany`22 backers
San Francisco`United States`22 backers
Singapore`Singapore`21 backers
Zurich`Switzerland`19 backers
Amsterdam`Netherlands`18 backers
Vienna`Austria`17 backers
Germany``497 backers
United States``389 backers
United Kingdom``129 backers
Netherlands``70 backers
Switzerland``59 backers
Australia``48 backers
France``42 backers
Austria``36 backers
Denmark``35 backers
Canada``30 backers
