left_primary`left_secondary`right_text
Seattle`United States`93 backers
Redmond`United States`29 backers
San Francisco`United States`21 backers
Los Angeles`United States`13 backers
New York`United States`13 backers
Austin`United States`11 backers
Houston`United States`11 backers
Minneapolis`United States`11 backers
Bellevue`United States`9 backers
Kirkland`United States`9 backers
United States``712 backers
Canada``32 backers
Australia``24 backers
United Kingdom``12 backers
Germany``7 backers
Italy``5 backers
Norway``5 backers
Sweden``5 backers
Brazil``4 backers
Austria``3 backers
