left_primary`left_secondary`right_text
Houston`United States`17 backers
San Antonio`United States`4 backers
Los Angeles`United States`3 backers
Phoenix`United States`3 backers
Austin`United States`2 backers
Denver`United States`2 backers
Eagle`United States`2 backers
Miami Beach`United States`2 backers
New York`United States`2 backers
Tampa`United States`2 backers
United States``118 backers
Canada``3 backers
Australia``1 backer
Indonesia``1 backer
Israel``1 backer
Japan``1 backer
Mexico``1 backer
New Zealand``1 backer
Portugal``1 backer
Romania``1 backer
