left_primary`left_secondary`right_text
Akron`United States`35 backers
Cleveland`United States`17 backers
Brussels`Belgium`16 backers
Merelbeke`Belgium`7 backers
Kortrijk`Belgium`5 backers
Melle`Belgium`5 backers
New York`United States`5 backers
Ghent`Belgium`4 backers
Leuven`Belgium`4 backers
Kent`United States`4 backers
United States``159 backers
Belgium``87 backers
France``8 backers
United Kingdom``5 backers
Australia``3 backers
Netherlands``2 backers
Spain``2 backers
Austria``1 backer
Bulgaria``1 backer
Canada``1 backer
