left_primary`left_secondary`right_text
New York`United States`96 backers
Los Angeles`United States`71 backers
Brooklyn`United States`32 backers
Chicago`United States`25 backers
San Francisco`United States`13 backers
Washington`United States`12 backers
Austin`United States`10 backers
Oakland`United States`10 backers
Portland`United States`10 backers
Santa Monica`United States`10 backers
United States``768 backers
Canada``19 backers
United Kingdom``13 backers
Australia``11 backers
Germany``3 backers
Austria``2 backers
Bermuda``2 backers
Ireland``2 backers
Mexico``2 backers
Norway``2 backers
