left_primary`left_secondary`right_text
Chicago`United States`87 backers
Los Angeles`United States`46 backers
Denver`United States`44 backers
New York`United States`42 backers
Seattle`United States`42 backers
Austin`United States`33 backers
San Francisco`United States`33 backers
Pittsburgh`United States`27 backers
Portland`United States`27 backers
Washington`United States`27 backers
United States``2,807 backers
Canada``169 backers
United Kingdom``81 backers
Germany``51 backers
Australia``42 backers
Spain``12 backers
Sweden``10 backers
France``9 backers
Austria``8 backers
Ireland``6 backers
