left_primary`left_secondary`right_text
Taipei City`Taiwan`49 backers
Singapore`Singapore`32 backers
London`United Kingdom`21 backers
Tokyo`Japan`17 backers
Los Angeles`United States`16 backers
Perth`Australia`11 backers
Sydney`Australia`11 backers
New York`United States`11 backers
Hong Kong`Hong Kong`10 backers
Atlanta`United States`9 backers
United States``525 backers
Taiwan``66 backers
United Kingdom``63 backers
Canada``51 backers
Australia``50 backers
Germany``35 backers
Japan``35 backers
Singapore``32 backers
France``25 backers
Netherlands``24 backers
