left_primary`left_secondary`right_text
Chicago`United States`71 backers
New York`United States`63 backers
Los Angeles`United States`35 backers
London`United Kingdom`26 backers
San Francisco`United States`24 backers
Seattle`United States`24 backers
Brooklyn`United States`21 backers
Portland`United States`20 backers
Boston`United States`16 backers
Toronto`Canada`14 backers
United States``910 backers
Canada``83 backers
United Kingdom``63 backers
Germany``39 backers
Australia``31 backers
Netherlands``23 backers
France``10 backers
Denmark``9 backers
Italy``9 backers
Finland``8 backers
