left_primary`left_secondary`right_text
London`United Kingdom`41 backers
Philadelphia`United States`12 backers
Melbourne`Australia`10 backers
San Diego`United States`10 backers
Seattle`United States`10 backers
Madison`United States`8 backers
Singapore`Singapore`7 backers
Calgary`Canada`6 backers
Sheffield`United Kingdom`6 backers
New York`United States`6 backers
United States``522 backers
United Kingdom``199 backers
Canada``50 backers
Australia``36 backers
Germany``16 backers
Belgium``11 backers
France``11 backers
Sweden``9 backers
Singapore``8 backers
Italy``6 backers
