left_primary`left_secondary`right_text
Melbourne`Australia`11 backers
London`United Kingdom`8 backers
Singapore`Singapore`7 backers
Salt Lake City`United States`6 backers
Sydney`Australia`5 backers
New York`United States`5 backers
Brisbane`Australia`4 backers
Colorado Springs`United States`4 backers
Dallas`United States`4 backers
Los Angeles`United States`4 backers
United States``355 backers
United Kingdom``34 backers
Australia``28 backers
Canada``25 backers
Germany``13 backers
Spain``9 backers
Norway``8 backers
France``7 backers
Singapore``7 backers
Netherlands``6 backers
